Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Biuro ds. Dzielnic Miasta Krakowa (BD),Koordynacja i obsługa administracyjna,0,,220682.0,220682.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Obsługa dzielnic organizacja,ODO,2732000.0,2868855.0,5600855.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnic (bieżące),DBR,812118.0,,812118.0
Biuro ds. Dzielnic Miasta Krakowa (BD),Zadania dzielnicowe bieżące wieloletnie,DBW,40450.0,,40450.0
Biuro ds. Dzielnic Miasta Krakowa (BD),nan,,,,0.0
Biuro ds. Ewidencji Mienia (EM),Koordynacja i obsługa administracyjna,0,,220681.0,220681.0
Biuro ds. Ewidencji Mienia (EM),Ewidencja mienia,EWM,233006.0,1103406.0,1336412.0
Biuro ds. Ewidencji Mienia (EM),Krajowy Zasób Nieruchomości,KZN,26300.0,772384.0,798684.0
Biuro ds. Ewidencji Mienia (EM),nan,,,,
Biuro ds. Podatku VAT (BV),Koordynacja i obsługa administracyjna,0,,220681.0,220681.0
Biuro ds. Podatku VAT (BV),Centralizacja podatkowa GMK w zakresie podatku VAT,APD,504000.0,1765450.0,2269450.0
Biuro ds. Podatku VAT (BV),nan,,,,0.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Koordynacja i obsługa administracyjna biura,0,,463431.0,463431.0
Biuro Miejskiego Konserwatora Zabytków (KZ),Zadania Miejskiego Konserwatora Zabytków,OZK,728000.0,1743381.0,2471381.0
Biuro Miejskiego Konserwatora Zabytków (KZ),nan,,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Koordynacja i obsługa administracyjna,0,,441362.0,441362.0
Biuro Nadzoru Właścicielskiego (NW),Udział Gminy w spółkach handlowych i fundacjach,UGS,57730.0,1103406.0,1161136.0
Biuro Nadzoru Właścicielskiego (NW),Nadzór nad SPZOZ,NNS,,551703.0,551703.0
Biuro Nadzoru Właścicielskiego (NW),Przebudowa Pawilonu Nr 4 ZOL w Krakowie oraz wdrożenie programu edukacyjnego w zakresie opieki długoterminowej,ZOL,302270.0,,302270.0
Biuro Nadzoru Właścicielskiego (NW),Zakup i obejmowanie akcji oraz wnoszenie wkładów do spółek prawa handlowego ,MAS,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania inwestycyjne,ZIN,,,0.0
Biuro Nadzoru Właścicielskiego (NW),nan,,,,0.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Koordynacja i obsługa administracyjna,0,,331021.0,331021.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia i nieruchomości,PMN,32000.0,662044.0,694044.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Rewindykacja nieruchomości,RED,67500.0,441362.0,508862.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie spadków na rzecz GMK,SPA,518300.0,662044.0,1180344.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia po podmiotach gospodarczych,KRS,,110341.0,110341.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Zadania inwestycyjne,ZIN,,,
Biuro Przejmowania Mienia i Rewindykacji (MR),nan,,,,0.0
Centrum Obsługi Informatycznej  (IT),Koordynacja i obsługa administracyjna,0,,1655109.0,1655109.0
Centrum Obsługi Informatycznej  (IT),Obsługa zintegrowanego systemu teleinformatycznego,ZSI,15832000.0,9378950.0,25210950.0
Centrum Obsługi Informatycznej  (IT),Zadania dzielnic (bieżące),DBR,67007.0,,67007.0
Centrum Obsługi Informatycznej  (IT),Baza Referencyjna - Osoby,BRO,,,0.0
Centrum Obsługi Informatycznej  (IT),Krakowskie Centrum Kontaktu,KCK,,,
Centrum Obsługi Informatycznej  (IT),Wdrożenie aplikacji mobilnej do obsługi usług i kart w UMK,MOB,,,
Centrum Obsługi Informatycznej  (IT),Wdrożenie Strategii Usług w UMK,WSU,,,
Centrum Obsługi Informatycznej  (IT),Platforma do wirtualizacji danych,PWD,,,
Centrum Obsługi Informatycznej  (IT),Zadania inwestycyjne,ZIN,,,0.0
Centrum Obsługi Informatycznej  (IT),nan,,,,
Kancelaria Prezydenta (KP),Koordynacja i obsługa administracyjna,0,,772384.0,772384.0
Kancelaria Prezydenta (KP),Współpraca zagraniczna,BWZ,287350.0,882725.0,1170075.0
Kancelaria Prezydenta (KP),Obsługa spotkań Prezydenta Miasta z mieszkańcami,SPM,,220681.0,220681.0
Kancelaria Prezydenta (KP),Kontakty publiczne,BWK,311650.0,1086855.0,1398505.0
