Dział ,Rozdział,Wyszczególnienie,Plan wydatków na 01.01.2023 r.,Rodzaj
600.0,60015.0,Drogi publiczne w miastach na prawach powiatu,122000,Transport i łączność
600.0,60016.0,Drogi publiczne gminne,16060410,Transport i łączność
600.0,60017.0,Drogi wewnętrzne,893512,Transport i łączność
600.0,60095.0,Pozostała działalność,0,Transport i łączność
710.0,71035.0,Cmentarze,18000,Działalność usługowa
750.0,75022.0,Rady gmin (miast i miast na prawach powiatu),279450,Administracja publiczna
750.0,75095.0,Pozostała działalność,853193,Administracja publiczna
754.0,75405.0,Komendy powiatowe Policji,495250,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75411.0,Komendy powiatowe Państwowej Straży Pożarnej,394000,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75412.0,Ochotnicze straże pożarne,30000,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
754.0,75416.0,Straż gminna (miejska),361300,Bezpieczeństwo publiczne i ochrona przeciwpożarowa
758.0,75818.0,Rezerwy ogólne i celowe,12121470,Różne rozliczenia
801.0,80195.0,Pozostała działalność,13561239,Oświata i wychowanie
851.0,85111.0,Szpitale ogólne,100000,Ochrona zdrowia 
851.0,85117.0,Zakłady opiekuńczo-lecznicze i pielęgnacyjno-opiekuńcze,25000,Ochrona zdrowia 
851.0,85149.0,Programy polityki zdrowotnej,82000,Ochrona zdrowia 
851.0,85195.0,Pozostała działalność,3000,Ochrona zdrowia 
852.0,85202.0,Domy pomocy społecznej,175200,Pomoc społeczna
852.0,85203.0,Ośrodki wsparcia,290772,Pomoc społeczna
852.0,85214.0,"Zasiłki okresowe, celowe i pomoc w naturze oraz składki na ubezpieczenia emerytalne i rentowe",185000,Pomoc społeczna
852.0,85295.0,Pozostała działalność,259796,Pomoc społeczna
853.0,85311.0,Rehabilitacja zawodowa i społeczna osób                       niepełnosprawnych,252700,Pozostałe zadania w zakresie polityki społecznej
853.0,85395.0,Pozostała działalność,2205203,Pozostałe zadania w zakresie polityki społecznej
854.0,85495.0,Pozostała działalność,1675700,Edukacyjna opieka wychowawcza
855.0,85516.0,System opieki nad dziećmi w wieku do lat 3,853000,Rodzina
900.0,90001.0,Gospodarka ściekowa i ochrona wód ,50000,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90004.0,Utrzymanie zieleni w miastach i gminach,1296850,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90015.0,"Oświetlenie ulic, placów i dróg",2484853,Gospodarka komunalna i ochrona  środowiska                                                                 
900.0,90095.0,Pozostała działalność,4435525,Gospodarka komunalna i ochrona  środowiska                                                                 
921.0,92106.0,Teatry,3330627,Kultura i ochrona dziedzictwa narodowego
921.0,92109.0,"Domy i ośrodki kultury, świetlice i kluby",2725627,Kultura i ochrona dziedzictwa narodowego
921.0,92113.0,Centra kultury i sztuki,20000,Kultura i ochrona dziedzictwa narodowego
921.0,92116.0,Biblioteki,268500,Kultura i ochrona dziedzictwa narodowego
921.0,92118.0,Muzea,316500,Kultura i ochrona dziedzictwa narodowego
921.0,92195.0,Pozostała działalność,316500,Kultura i ochrona dziedzictwa narodowego
926.0,92601.0,Obiekty sportowe,1194200,Kultura fizyczna 
926.0,92605.0,Zadania w zakresie kultury fizycznej  ,136750,Kultura fizyczna 
926.0,92695.0,Pozostała działalność,136750,Kultura fizyczna 
